"Year","Magnitude","growth","gb","ga","dif","dgrowth_dt","USAMagnitude","ratio","dratio_dt","dratio_dt_mmov","dratio_dt2_mmov","Country","CountryCode"
1973,1600,25,15.3934396413358,17.0933102240832,1.69987058274739,5.625,7290,0.219478737997257,1.56570819463011,1.22501779791981,0.169179642575763,"Singapore","SGP"
1974,2090,30.625,18.0735243870985,14.681463350027,-3.3920610370715,-3.35227272727273,7980,0.261904761904762,4.24260239075054,1.88503803888419,0.660020240964379,"Singapore","SGP"
1975,2660,27.2727272727273,20.0215763351505,11.5819606222715,-8.43961571287897,-17.1223513328776,8510,0.312573443008226,5.06686811034637,2.54209983530792,0.657061796423723,"Singapore","SGP"
1976,2930,10.1503759398496,19.5668681360814,11.3643012827759,-8.20256685330548,-7.07870358490082,8960,0.327008928571429,1.4435485563203,2.66117501270971,0.119075177401795,"Singapore","SGP"
1977,3020,3.07167235494881,17.9888717498135,12.6851575358429,-5.30371421397061,8.51773161856113,9590,0.314911366006257,-1.2097562565172,2.22179419910602,-0.439380813603688,"Singapore","SGP"
1978,3370,11.5894039735099,17.877196028798,11.3799716043561,-6.49722442444188,6.80822213924971,10760,0.313197026022305,-0.171433998395171,1.87436576050097,-0.347428438605056,"Singapore","SGP"
1979,3990,18.3976261127596,18.0152579505422,9.21451596249308,-8.8007419880491,0.148739802027325,12200,0.327049180327869,1.3852154305564,1.30288836846214,-0.571477392038828,"Singapore","SGP"
1980,4730,18.546365914787,17.0933102240832,8.02673848918596,-9.06657173489722,-4.8042940331802,13380,0.353512705530643,2.64635252027739,0.818785250448343,-0.484103118013796,"Singapore","SGP"
1981,5380,13.7420718816068,14.681463350027,8.25594745659433,-6.42551589343267,-8.1658637031681,14360,0.374651810584958,2.11391050543155,0.952857640270593,0.134072389822251,"Singapore","SGP"
1982,5680,5.57620817843866,11.5819606222715,8.99214825023246,-2.58981237203902,3.05055238494162,14220,0.39943741209564,2.47856015106817,1.69052092178767,0.737663281517075,"Singapore","SGP"
1983,6170,8.62676056338028,11.3643012827759,9.32398422733539,-2.04031705544048,3.69090556303787,14570,0.42347288949897,2.40354774033306,2.20551726953331,0.514996347745645,"Singapore","SGP"
1984,6930,12.3176661264182,12.6851575358429,9.46076180503361,-3.22439573080931,-9.8645636733157,16210,0.42751388032079,0.404099082181913,2.00929399985842,-0.196223269674897,"Singapore","SGP"
1985,7100,2.45310245310245,11.3799716043561,11.6436372448757,0.263665640519543,0.786334166615857,17460,0.406643757159221,-2.08701231615686,1.06262103257157,-0.946672967286849,"Singapore","SGP"
1986,7330,3.23943661971831,9.21451596249308,13.4635811387563,4.24906517626323,6.9924869819188,19110,0.383568812140241,-2.30749450189804,0.178340031105649,-0.884281001465917,"Singapore","SGP"
1987,8080,10.2319236016371,8.02673848918596,14.4782833490895,6.45154485990355,5.11461105182824,21390,0.377746610565685,-0.582220157455576,-0.4338160305991,-0.612156061704749,"Singapore","SGP"
1988,9320,15.3465346534653,8.25594745659433,14.2452227819301,5.98927532533576,-4.61692091955977,23490,0.396764580672627,1.90179701069417,-0.534166176526877,-0.100350145927777,"Singapore","SGP"
1989,10320,10.7296137339056,8.99214825023246,13.9154919764637,4.92334372623128,0.219998669195197,23770,0.434160706773244,3.73961261006169,0.132936529049079,0.667102705575956,"Singapore","SGP"
1990,11450,10.9496124031008,9.32398422733539,13.5277978214094,4.20381359407403,2.3254967672049,24060,0.475893599334996,4.17328925617523,1.3849968435155,1.25206031446642,"Singapore","SGP"
1991,12970,13.2751091703057,9.46076180503361,9.71491452177222,0.254152716738611,4.45812136169124,24270,0.534404614750721,5.85110154157252,3.01671605220961,1.63171920869411,"Singapore","SGP"
1992,15270,17.7332305319969,11.6436372448757,6.7948522556138,-4.84878498926188,-1.75418665511414,25680,0.594626168224299,6.02215534735779,4.33759115317228,1.32087510096267,"Singapore","SGP"
